CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov	log P1Sig	log P2Sig	Klasse	Rel exp	Punten
849492	1284	147	95	1416.4828297925733	112	95	7.157735484249907	7.2559321976246185	a	-0.10317977398175482	0
847936	1260	139	124	1643.120082559385	123	124	7.138866999945524	7.404352202742891	a	-0.3040635575868136	0
848434	774	90	69	721.1185315307646	61	69	6.651571873589727	6.580803522567352	a	0.07333256067761917	0
849038	4050	411	104	3571.253679961882	252	104	8.306472160100585	8.1806719839853	a	0.13405553425799432	0
845994	1009	115	84	1033.6032285274293	84	84	6.9167150203536085	6.9408062565987585	a	-0.02438377455642149	0
846412	1325	125	94	1605.3472070982498	105	94	7.1891677384203225	7.381095340578624	a	-0.21158279780999978	0
846290	1566	139	116	1531.5184050605762	94	116	7.356279876550748	7.3340149438699465	a	0.022514646135160188	0
836411	196	28	92	202.59996838245291	22	92	5.278114659230517	5.311233435755602	b	-0.03367330807373925	1
849512	510	57	93	558.0083874940441	43	93	6.234410725718371	6.324373993619675	a	-0.09413409312557675	0
820441	3144	301	87	3765.2689039213496	254	87	8.053251153549096	8.233574559707826	a	-0.1976046132065361	0
820236	2502	235	122	2414.0301317434646	147	122	7.824845691026856	7.789052883660547	a	0.03644108128551049	0
849466	1176	122	88	1012.9998419122646	74	88	7.069874128458572	6.920671348189702	a	0.16090837465486274	0
849385	376	47	100	515.0846653791176	44	100	5.929589143389895	6.244331285946139	a	-0.3699060249444617	0
849139	423	51	98	454.99145441822054	40	98	6.0473721790462776	6.12027863727616	a	-0.07562991588231815	0
846894	713	82	112	530.5372053404911	46	112	6.569481420414296	6.273890088187683	a	0.3439208274609258	0
846667	385	48	100	405.19993676490583	38	100	5.953243334287785	6.004380616315547	a	-0.05246736822053455	0
846570	1818	199	121	1967.6234217482292	148	121	7.505492274737424	7.584581708564622	a	-0.08230111207273327	0
846396	248	31	91	278.1457193047235	26	91	5.5134287461649825	5.628145146522321	a	-0.12155531977711087	0
846160	494	52	100	303.8999525736794	27	100	6.202535517187923	5.7166985438637665	a	0.625534969046208	0
836398	374	44	95	345.10672580400876	31	95	5.924255797414532	5.8438537193490125	a	0.08372272122102942	0
849489	1717	168	134	1306.5981011783617	93	134	7.448333860897476	7.175182169151623	a	0.3140995677641927	0
820434	1272	137	89	2189.10982786125	158	89	7.148345743900068	7.691250268882464	a	-0.7209982923437499	0
820216	1695	194	130	2101.5454347468	157	130	7.43543801981455	7.650428274362208	a	-0.23984981400991146	0
849450	277	37	96	396.61519234192053	35	96	5.6240175061873385	5.982966521811731	a	-0.43182379906830515	0
848654	1245	119	132	1268.8252257172264	90	132	7.126890808898808	7.145846732238139	a	-0.019136727483715976	0
849103	1020	104	89	1303.1642034091676	88	89	6.927557906278317	7.172550588685567	a	-0.277611964126635	0
846842	1082	113	111	1105.7150816805058	89	111	6.9865664594064265	7.008247537394291	a	-0.021917820407121757	0
846613	824	92	85	614.667700685747	50	85	6.714170529909472	6.421081797690638	a	0.3405617361717783	0
847231	275	35	96	283.2965659585147	28	96	5.616771097666572	5.646494285190518	a	-0.030169330758235136	0
846353	1668	172	94	810.3998735298117	62	94	7.419380582918692	6.697527796875493	a	1.0582431642477799	0
846033	412	48	93	329.65418584263523	29	93	6.021023349349527	5.798044183317718	a	0.2497945352851476	0
849432	322	41	94	327.9372369580382	29	94	5.7745515455444085	5.792822239336568	a	-0.018438624093286338	0
821121	298	38	94	382.87960126514406	35	94	5.697093486505405	5.947720582750056	a	-0.28483087672867136	0
820180	263	35	89	279.8626681893206	27	89	5.572154032177765	5.6342990120967	a	-0.06411660908486905	0
849401	880	96	96	1009.5659441430705	78	96	6.779921907472252	6.9172757591885645	a	-0.14723402743530745	0
848613	1473	165	141	2008.8301949785587	148	141	7.29505641646263	7.605307839081739	a	-0.3637679531422666	0
846978	1306	138	94	547.7066941864617	46	94	7.174724309836376	6.305739914074782	a	1.3844879273200634	0
848256	682	80	121	748.5897136843175	62	121	6.525029657843462	6.618191054638972	a	-0.09763887636996715	0
847339	804	86	91	683.3456560696293	55	91	6.6895992691789665	6.5270008165743745	a	0.17656414855160318	0
847201	1495	152	144	1306.5981011783617	96	144	7.3098814858247865	7.175182169151623	a	0.14419269295717418	0
846350	202	29	97	214.61861057463233	24	97	5.308267697401205	5.368862548592238	b	-0.06246836918134813	1
836511	1135	114	137	1006.1320463738764	72	137	7.034387929915503	6.91386860086695	a	0.12808254551732712	0
836341	257	36	100	262.69317934335	28	100	5.54907608489522	5.570986732682373	a	-0.022152448806809222	0
