CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov	log P1Sig	log P2Sig	Klasse	Rel exp	Punten
849492	1748	213	89	1510.176478916933	131	89	7.466227556215481	7.319981796434722	a	0.15748061528122137	0
847936	1228	134	117	1872.6856558250906	156	117	7.113142108707088	7.535128859114706	a	-0.5249883190758067	0
848434	901	108	85	1102.5624735455485	91	85	6.803505257608338	7.005392271063017	a	-0.2237097375644268	0
849038	5092	509	100	3750.3829592572065	277	100	8.535425959677298	8.229613236218901	a	0.3577280121303963	0
845994	1335	157	88	995.6473245956771	85	88	7.19668657083435	6.903393103107896	a	0.34083622485716103	0
846412	1311	133	87	1747.3944656494602	122	87	7.1785454837637	7.4658810806674145	a	-0.3328714459568729	0
846290	1722	164	111	2088.1865029271753	142	111	7.451241684987676	7.644051266338892	a	-0.21265186000416691	0
836411	259	34	92	252.25292955360274	27	92	5.556828061699537	5.53043227285747	a	0.026747243167154267	0
849512	793	83	121	711.6539601975812	55	121	6.675823221634848	6.567591782311916	a	0.11430560968119141	0
820441	4240	422	80	3160.6790908305725	233	80	8.352318548226004	8.05854218565437	a	0.34148386411661935	0
820236	3069	286	121	2153.3379218185028	152	121	8.029107054619736	7.674774438981733	a	0.4252291611565624	0
849466	1219	132	87	1212.8187209001032	95	87	7.105786129481271	7.100702450867342	a	0.005096622432830822	0
849385	386	50	100	634.8086968898613	58	100	5.955837369464831	6.4533236887629775	a	-0.6445821162949774	0
849139	816	94	81	800.1930679216935	68	81	6.704414354964107	6.684853033453461	a	0.019753897792892827	0
846894	931	106	114	821.9102075521362	72	114	6.836259277277067	6.711631152534854	a	0.13272714153625342	0
846667	452	58	95	547.9401383680907	51	95	6.113682179832232	6.30616604442669	a	-0.2122569432922361	0
846570	1676	188	119	2330.416137266727	184	119	7.424165281042028	7.753802130298012	a	-0.390463089061293	0
846396	296	38	96	322.41599605195586	31	96	5.69035945432406	5.7758426249474315	a	-0.08924322990525635	0
846160	564	63	95	424.319497394802	38	95	6.335054251498059	6.0504867030610825	a	0.32918709477833463	0
836398	524	60	81	479.4476210720794	43	81	6.261491684321042	6.172634651802167	a	0.09292439250881723	0
849489	2128	225	132	1526.8819709403504	113	132	7.662937850461535	7.3309830074966955	a	0.39368991218715044	0
820434	1636	179	92	2459.0484258470415	181	92	7.400009517162692	7.807529735331367	a	-0.5030858348698297	0
820216	1358	154	135	2008.0001412147717	158	135	7.213768308118642	7.604894551137699	a	-0.47864517026124576	0
849450	367	47	94	509.5175067142307	46	94	5.905361848054571	6.233464212649958	a	-0.3883310809652063	0
848654	1534	163	131	1556.9518565825017	118	131	7.335633981927201	7.350485250728137	a	-0.01496209685951877	0
849103	980	111	89	1896.073344657875	147	89	6.887552571664617	7.547540365958049	a	-0.934768719038648	0
846842	1096	120	112	1287.9934350054816	102	112	6.999422467507961	7.160840809605875	a	-0.17517649179332273	0
846613	948	107	87	674.901877746063	58	87	6.854354502255021	6.5145673140036955	a	0.40464863302201737	0
847231	462	56	100	479.4476210720794	43	100	6.135564891081739	6.172634651802167	a	-0.03776541357592955	0
846353	2278	240	85	1181.0782860556103	92	85	7.731053144007127	7.074183101939119	a	0.9287459831369229	0
846033	701	79	97	765.111534672517	63	97	6.55250788703459	6.640021620156731	a	-0.0914572534558018	0
849432	456	56	100	527.8935479399898	47	100	6.1224928095143865	6.268894649629458	a	-0.157661289342083	0
821121	414	53	98	399.2612593596759	39	98	6.025865973825314	5.989615987974057	a	0.03691502817969794	0
820180	422	52	100	466.0832274533455	43	100	6.045005314036012	6.144364217863911	a	-0.10446262429702724	0
849401	1109	121	95	1262.9351969703555	99	95	7.011213987350367	7.141193812222079	a	-0.13880540754766058	0
848613	1171	140	142	2061.457715689707	168	142	7.065613363597717	7.631168640507879	a	-0.7604250347478285	0
846978	1351	144	91	633.1381476875194	55	91	7.208600337960199	6.450688641124972	a	1.1338155107766084	0
848256	576	73	97	686.5957221624552	62	97	6.3561076606958915	6.531745650538781	a	-0.19200646208759586	0
847339	1180	127	91	730.0300014233404	61	91	7.07326971745971	6.593085631138136	a	0.6163719267692458	0
847201	2100	216	143	1742.382818042435	127	143	7.649692623711514	7.4630088910433185	a	0.2052460448154254	0
846350	228	32	88	235.54743753018536	26	88	5.429345628954441	5.461912326420714	a	-0.03310279618502343	0
