CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov	log P1Sig	log P2Sig	Klasse	Rel exp	Punten
849492	1130	116	87	1112.7161748093267	80	87	7.029972911706386	7.01455930959914	a	0.015533004356331093	0
847936	751	81	115	1045.6115809337643	77	115	6.621405651764134	6.952357238122589	a	-0.392292384732043	0
848434	478	54	100	577.0995073298373	45	100	6.169610732491456	6.358014708016742	a	-0.20732114504150045	0
849038	3716	348	104	2887.9377036992064	185	104	8.22040309993373	7.968297929038793	a	0.2867313568572185	0
845994	750	81	73	757.6718690313508	57	73	6.620073206530356	6.630250401458288	a	-0.010229158708467745	0
846412	830	74	89	940.6843977828847	58	89	6.721425700790643	6.8466076930881385	a	-0.13335469612395756	0
846290	1144	100	114	1222.5236920602472	75	114	7.042286171939743	7.108672601169619	a	-0.06863959096175454	0
836411	144	22	87	183.012528751534	20	87	4.969813299576001	5.209554613621065	a	-0.27092033855231956	0
849512	462	47	100	634.4434330053178	44	100	6.135564891081739	6.452748131100282	a	-0.3732541839941945	0
820441	2765	259	91	2526.7929802961794	160	91	7.9247959139564355	7.834706180920393	a	0.09427247169093333	0
820236	2024	175	129	1608.0700859634787	98	129	7.6128310304073565	7.382790034587262	a	0.25865160832670786	0
849466	882	89	82	805.2551265067495	59	82	6.782192056006791	6.69115915454528	a	0.09530504180231025	0
849385	200	26	86	259.8777908271783	24	86	5.298317366548036	5.560211485234234	a	-0.2993889541358914	0
849139	381	44	100	417.2685655534975	35	100	5.942799375126701	6.033730056587414	a	-0.09519308544225069	0
846894	449	51	97	448.9907372037634	38	97	6.1070228877422545	6.10700225769374	a	2.0630261315268683e-05	0
846667	313	40	100	367.24514102807825	33	100	5.746203190540153	5.906029584273685	a	-0.17330715983411582	0
846570	1146	113	119	1383.574717361597	93	119	7.044032897274685	7.232425803812506	a	-0.2073077812928421	0
846396	207	24	97	218.39495097683056	21	97	5.332718793265369	5.386305125365564	a	-0.055048072351838506	0
846160	433	44	89	256.2175402521476	23	89	6.07073772800249	5.546026850242278	a	0.6899701697779084	0
836398	293	34	97	312.341382402618	27	97	5.680172609017068	5.744096764004372	a	-0.06601154403623899	0
849489	1367	132	132	1107.8358407092858	77	132	7.220373836723949	7.010163698126102	a	0.2339373305748853	0
820434	1151	112	90	1673.954596314031	108	90	7.048386408721883	7.42294412781064	a	-0.4543480419757002	0
820216	913	98	128	1199.3421050850527	89	128	6.816735880594968	7.089528439671976	a	-0.31362771641298215	0
849450	184	26	96	237.9162873769942	24	96	5.214935757608986	5.471918878088556	a	-0.29302330096192497	0
848654	1154	108	132	1183.4810192599198	81	132	7.050989447068045	7.076215391022237	a	-0.025546810450536972	0
849103	425	48	100	542.9371686295509	42	100	6.052089168924417	6.2969936016910495	a	-0.27749922030482566	0
846842	668	68	108	784.5137065815758	57	108	6.504288173536645	6.6650640437624284	a	-0.1744217164394848	0
846613	414	49	100	339.183219952843	30	100	6.025865973825314	5.826540433215446	a	0.22057924934364048	0
847231	250	31	100	298.9204636275055	28	100	5.521460917862246	5.700177530069536	a	-0.19568185451002207	0
846353	1464	144	84	740.5906996812075	55	84	7.288927694521257	6.607448110584308	a	0.9768004116581388	0
846033	365	40	100	287.9397119024135	26	100	5.8998973535824915	5.662751124550419	a	0.26762646801460743	0
849432	272	35	100	328.20246822775096	29	100	5.605802066295998	5.793630699126648	a	-0.20662672142555505	0
821121	211	28	92	230.59578622693283	23	92	5.351858133476067	5.440666334584452	a	-0.09287102477219356	0
820180	256	32	100	305.02088125255665	27	100	5.545177444479562	5.720380237387055	a	-0.1914878173927994	0
