CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov	log P1Sig	log P2Sig	Klasse	Rel exp	Punten
849492	1608	166	92	1409.0487125841955	120	92	7.382746449738912	7.250670083752589	a	0.1411954644569582	0
847936	904	100	112	1240.7110345321014	106	112	6.806829360392176	7.123439909204796	a	-0.3724679585532096	0
848434	591	74	84	612.5621062451204	65	84	6.3818160174060985	6.417650335229674	a	-0.03648410532169266	0
849038	5505	524	104	4328.46048102468	329	104	8.61341204915678	8.372967210667213	a	0.2718147766701562	0
845994	1056	131	91	861.9512589148895	86	91	6.962243464266207	6.759198724882748	a	0.22512727846049962	0
846412	969	99	86	1251.6218099614039	102	86	6.876264611890766	7.132195437307175	a	-0.29166337457317226	0
846290	1274	115	124	1589.855848269778	110	124	7.149916836132109	7.37139862963873	a	-0.2479245276842843	0
836411	218	31	91	202.62868654418742	24	91	5.384495062789089	5.311375173815995	a	0.07585951287534276	0
849512	581	69	95	640.6183859204694	59	95	6.364750756851911	6.462433937856647	a	-0.10261340089581661	0
820441	3943	397	86	3405.7206161465347	264	86	8.279697133877628	8.133211830890104	a	0.15775791511089365	0
820236	2764	295	134	2171.2443104311774	176	134	7.92443418488756	7.683055697140219	a	0.2730027600860403	0
849466	1184	130	90	1069.255992071635	91	90	7.076653815443951	6.974718351086298	a	0.10731200833025367	0
849385	240	34	92	342.91008492093255	38	92	5.480638923341991	5.837468269712774	a	-0.42879202050388554	0
849139	638	76	94	639.0597037162834	58	94	6.45833828334479	6.459997883058766	a	-0.0016609776117293418	0
846894	702	88	91	637.5010215120974	64	91	6.553933404025811	6.457555879403215	a	0.10117470609681001	0
846667	490	62	92	562.6842757111666	54	92	6.194405391104672	6.332718681693294	a	-0.1483352565534013	0
846570	1447	169	107	1889.1228314735013	174	107	7.277247726631484	7.543867889989673	a	-0.30554445851658696	0
846396	271	33	94	302.3843476120951	30	94	5.602118820879701	5.711698882423741	a	-0.11580940078263868	0
846160	457	54	96	333.5579916958162	35	96	6.124683390894205	5.809816738382264	a	0.37007660250201746	0
836398	425	53	95	414.60946631349117	42	95	6.052089168924417	6.027337032142112	a	0.025061014112621516	0
849489	1907	203	124	1457.3678609139633	120	124	7.553286605600419	7.2843872526491005	a	0.30852343539678273	0
820434	1832	195	88	2897.59021758188	242	88	7.513163545234075	7.971634711081857	a	-0.5816540488984061	0
