CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov	log P1Sig	log P2Sig	Klasse	Rel exp	Punten
849492	1358	158	91	1253.026895497775	127	91	7.213768308118642	7.133317419548203	a	0.08377561956523172	0
847936	1028	116	113	1340.1434815115254	133	113	6.93537044601511	7.200531962967627	a	-0.30364151898008296	0
848434	790	95	84	770.9817862216901	80	84	6.672032945461067	6.647664749706714	a	0.024667526675969276	0
849038	3940	396	96	3282.843349618157	286	96	8.27893600229198	8.096465200742745	a	0.20017910707139897	0
845994	978	121	88	878.4255756386489	93	88	6.885509670034818	6.778131186495616	a	0.11335556149871517	0
846412	1215	124	94	1351.7590263133588	117	94	7.102499355774649	7.209162005741843	a	-0.11255886939371096	0
846290	1452	142	115	1334.3357091106086	111	115	7.280697195384741	7.196188850820462	a	0.08818192459813545	0
836411	183	27	87	177.13705822795893	24	87	5.209486152841421	5.176923773198031	a	0.03309833543975871	0
849512	648	73	84	1057.014576966837	96	84	6.473890696352274	6.963203776661461	a	-0.6311953348253658	0
820441	3731	365	84	3641.4732953747625	298	84	8.224431573221159	8.200143630217587	a	0.024585297587915944	0
820236	2680	278	129	2196.7899106467366	204	129	7.893572073504902	7.694752442253131	a	0.21996190305289853	0
849466	1224	127	87	1038.1393166638577	95	87	7.1098794630722715	6.945185271158783	a	0.17903250590048003	0
849385	362	50	100	432.67904386829315	50	100	5.8916442118257715	6.06999621497018	a	-0.19524597753672146	0
849139	513	60	100	528.5072884834185	53	100	6.240275845170769	6.270056596101516	a	-0.030228632521283716	0
846894	865	103	126	707.0962898116065	73	126	6.762729506931879	6.561166851547365	a	0.22331288180067266	0
846667	349	47	100	345.56245785454286	41	100	5.855071922202427	5.84517340213625	a	0.009947672460716595	0
846570	1557	181	130	1671.1865083637765	170	130	7.350516171833998	7.421289137186657	a	-0.07333751339998495	0
846396	280	35	98	281.67696144445927	31	98	5.634789603169249	5.640760887528103	a	-0.0059891480159259824	0
846160	676	73	116	355.72605955614705	38	116	6.516193076042964	5.874160939009502	a	0.9003387068225222	0
836398	371	45	90	309.26388034881353	34	90	5.916202062607435	5.7341948941742	a	0.1996227932649468	0
849489	1867	195	67	1409.8367503225256	128	67	7.532088143541722	7.2512291967561	a	0.32426679867217967	0
820434	1531	171	93	2860.327907451468	259	93	7.333676395657684	7.958691550196809	a	-0.8682742700532122	0
820216	1550	177	70	1949.9595836077774	191	70	7.346010209913293	7.575563924988012	a	-0.2580384410372758	0
849450	263	36	84	307.8119372485844	35	84	5.572154032177765	5.729489003136788	a	-0.17038759410108129	0
848654	1373	150	129	1374.9901159170256	138	129	7.224753405767971	7.226201821650854	a	-0.0014494653437913119	0
849103	1058	119	58	1242.8632937961709	116	58	6.964135612418245	7.125173104606517	a	-0.1747290111494999	0
846842	962	100	106	1020.7159994611077	95	106	6.8690144506657065	6.9282596202754405	a	-0.061035342475163956	0
846613	570	71	92	461.7179058728766	51	92	6.345636360828596	6.134954111244952	a	0.2345200234814726	0
847231	351	44	86	331.0430268522511	36	86	5.860786223465865	5.802248357419216	a	0.06028513374080502	0
846353	1962	223	62	936.5032996478157	96	62	7.581719640125308	6.842153045260548	a	1.0950273221010924	0
846033	393	49	93	344.11051475431367	38	93	5.973809611869261	5.840962869599906	a	0.14207495310218055	0
849432	314	41	90	349.91828715523036	39	90	5.749392985908253	5.85769966195543	a	-0.11438944953895014	0
821121	289	40	93	310.7158234490427	36	93	5.666426688112432	5.738878743486627	a	-0.07514125760914436	0
820180	291	39	92	280.22501834423014	32	92	5.673323267171493	5.635592917369661	a	0.03845117655602692	0
849401	948	105	90	1218.180261092275	118	90	6.854354502255021	7.105113434931981	a	-0.28500027541379214	0
848613	1434	166	71	1854.1313389926522	180	71	7.2682230211595655	7.525171584497315	a	-0.2929786185443879	0
846978	1475	155	91	525.6034022829601	56	91	7.29641326877392	6.264546940290546	a	1.806298424997503	0
848256	540	65	87	604.0083296953354	61	87	6.29156913955832	6.403587988726039	a	-0.11853394388025085	0
847339	944	99	85	829.059510230857	81	85	6.8501261661455	6.720291938120785	a	0.1386396131408434	0
847201	1739	170	78	1482.4339053339843	129	78	7.461065514354283	7.301440546629441	a	0.1730708490563111	0
846350	190	27	83	171.32928582704224	23	83	5.247024072160486	5.14358735293044	a	0.10897561431386538	0
836511	1380	132	72	1388.0576038190882	112	72	7.22983877815125	7.235660641516176	a	-0.0058388433471654455	0
836341	238	34	83	252.63809943987587	31	83	5.472270673671475	5.531958027679305	a	-0.06150461949527686	0
849416	6874	691	62	7576.239096995818	617	62	8.835501457409778	8.93277219416145	a	-0.1021587281052978	0
821108	852	100	90	932.1474703471282	92	90	6.747586526829315	6.837491032154737	a	-0.09406980087691097	0
820170	1111	122	80	906.0124945430031	88	80	7.01301578963963	6.8090530968342025	a	0.2262524045657821	0
849400	1020	113	76	1026.5237718620244	97	76	6.927557906278317	6.933933394361348	a	-0.0063958547666906895	0
847819	6814	705	108	6877.8544657855855	595	108	8.826734598220911	8.836062031388527	a	-0.009371069237684937	0
846976	995	114	88	1164.4583663837957	112	88	6.902742737158593	7.060011336331289	a	-0.17030991596361367	0
846790	756	88	102	649.0185658024398	64	102	6.628041376179533	6.475461323078344	a	0.16483570707301642	0
847332	338	47	77	612.7199882967104	67	77	5.823045895483019	6.417908042500787	a	-0.8127810304636403	0
847196	11717	1256	104	10101.168148294348	869	104	9.368796057668156	9.220406354388416	a	0.15996485039985164	0
847076	98	20	72	104.53990321650036	19	72	4.584967478670572	4.649568847480831	a	-0.06673370629081998	0
836482	431	56	90	438.48681626920984	48	90	6.066108090103747	6.083329745839645	a	-0.017370803408839564	0
836321	141	24	71	140.83848072222963	22	71	4.948759890378168	4.947613706968158	a	0.0011468405292507367	0
849415	207	31	89	198.9162047313965	27	89	5.332718793265369	5.2928836542929	a	0.04063919920209269	0
820348	290	41	76	445.74653177035566	50	76	5.66988092298052	6.099750476051972	a	-0.5370570061046747	0
818939	1059	118	126	1161.5544801833373	111	126	6.9650803456014065	7.057514456132703	a	-0.09684086891722132	0
851504	2674	283	104	2983.743070970948	273	104	7.891330757661889	8.000933855395111	a	-0.11583510507514871	0
848385	1784	190	101	2026.9125679199235	189	101	7.486613313139955	7.614269011787093	a	-0.1361617533183428	0
846785	1077	119	138	805.8284206271902	79	138	6.981934677156389	6.69187084221121	a	0.3365128015238681	0
847300	338	44	80	1242.8632937961709	116	80	5.823045895483019	7.125173104606517	a	-2.677110336675062	0
846453	1632	177	68	1691.513711766985	157	68	7.397561535524052	7.433379094464576	a	-0.0364667351513388	0
846329	1176	131	100	936.5032996478157	90	100	7.069874128458572	6.842153045260548	a	0.25573503098414085	0
836445	502	57	95	570.6136383900645	53	95	6.218600119691729	6.346712340334037	a	-0.13668055456188144	0
836320	166	28	91	171.32928582704224	25	91	5.111987788356544	5.14358735293044	a	-0.03210413148820623	0
820928	218	29	90	302.0041648476677	32	90	5.384495062789089	5.710440808166093	a	-0.38534020572324645	0
821048	4865	533	82	5224.091274624559	477	82	8.489821994620105	8.561036142975254	a	-0.0738111561407111	0
818894	429	49	87	348.4663440550012	36	87	6.061456918928017	5.853541651806767	a	0.23110884973237922	0
848695	2190	233	90	2260.6754070568204	215	90	7.691656822810547	7.723418900298774	a	-0.03227187536841125	0
846924	11009	1220	75	5430.2671948571015	522	75	9.306468399070404	8.599743618873353	a	1.0273403876749208	0
845892	964	110	82	1202.208886989754	118	82	6.871091294610546	7.091915882850035	a	-0.2471046545536868	0
846452	2059	222	123	1096.2170406730245	107	123	7.629975707027789	6.999620477713799	a	0.8782776800622194	0
846306	207	31	94	225.0511805355216	30	94	5.332718793265369	5.416327845384022	a	-0.08720377070300289	0
836442	199	29	90	177.13705822795893	24	90	5.293304824724492	5.176923773198031	a	0.12342387296454649	0
836296	152	26	95	159.7137410252089	24	95	5.0238805208462765	5.073383094257191	a	-0.05074829621847954	0
820899	384	48	95	338.302742353397	37	95	5.950642552587727	5.823941182030476	a	0.13507799945312549	0
821017	2243	234	88	1748.1394926759226	155	88	7.715569534520208	7.466307354333542	a	0.2830783867061899	0
818743	2599	284	109	924.8877548459823	97	109	7.8628820346414905	6.829672384036939	a	1.8100707208874236	0
848680	540	66	92	590.9408417932729	63	92	6.29156913955832	6.38171591390737	a	-0.09433489220976443	0
849179	289	40	96	342.6585716540845	39	96	5.666426688112432	5.836734533490385	a	-0.1856697981110189	0
847445	1341	140	139	1013.4562839599618	93	139	7.201170883281678	6.921121831227148	a	0.3231947161649633	0
845866	1988	211	96	1849.7755096919645	171	96	7.59488438721652	7.522819564596884	a	0.0747250082963058	0
847179	253	35	94	243.92644083850084	30	94	5.53338948872752	5.496866707868034	a	0.03719793200896415	0
847035	2726	291	94	2597.526206309988	239	94	7.9105906122564775	7.862314811973494	a	0.049460056794776275	0
836434	2362	254	67	2082.086405728632	189	67	7.767263996757308	7.641125749624341	a	0.13443899038061846	0
848961	312	43	92	320.8794251506469	39	92	5.7430031878094825	5.771065429982528	a	-0.028459695995663115	0
820479	156	24	93	217.79146503437573	27	93	5.049856007249537	5.383538022561031	a	-0.3960991348357419	0
820282	277	39	92	288.93667694560514	36	92	5.6240175061873385	5.666207553189268	a	-0.043092696554531296	0
818673	357	46	96	409.4479542646264	44	96	5.877735781779639	6.014809799402888	a	-0.14691303715581627	0
620371	252	36	96	246.83032703895918	30	96	5.529429087511423	5.508701165515037	a	0.020944237375761565	0
620175	1025	113	102	1099.1209268734829	105	102	6.932447891572509	7.002265981902224	a	-0.07231309938876374	0
1005939	1263	134	77	1399.6731486209214	125	77	7.141245122350491	7.243994023075321	a	-0.10821310262939154	0
1005744	1689	174	124	1904.9493475006732	166	124	7.4318919168078	7.5522106979688095	a	-0.12785633362976512	0
1005579	1962	195	79	1263.1904971993793	111	79	7.581719640125308	7.141395940113404	a	0.5532099112128788	0
1005419	582	65	100	686.7690864083982	63	100	6.366470447731438	6.531998116956708	a	-0.18001561238556385	0
1005382	1566	151	93	1639.2437601587349	137	93	7.356279876550748	7.401990292614437	a	-0.04677123892639523	0
1005972	2090	202	129	2289.7142690614037	174	129	7.644919344958857	7.736182315427814	a	-0.09555706653655682	0
1005928	1384	139	96	1078.7937234702745	98	96	7.232733136177615	6.983598773182535	a	0.2829143977107458	0
1005834	1236	130	94	1276.2579851014418	117	94	7.119635638017636	7.151687626149952	a	-0.03257118535715353	0
1005806	486	55	100	466.0737351735641	48	100	6.186208623900494	6.144343851594791	a	0.042753460070036775	0
620303	198	31	100	196.01231853093816	28	100	5.288267030694535	5.278177506903204	a	0.010140594652208623	0
620125	206	31	100	219.24340813460492	29	100	5.327876168789581	5.3901825652797	a	-0.06428838900293643	0
1005846	1256	142	94	1902.0454613002148	172	94	7.135687347028144	7.5506851446599725	a	-0.5143674054938017	0
1005652	1098	117	132	1293.6813023041918	121	132	7.001245622069476	7.165247155935584	a	-0.1782161223171146	0
1005417	240	33	100	306.3599941483552	35	100	5.480638923341991	5.724760861940841	a	-0.27649997561814676	0
1005368	1200	134	83	1479.530019133526	139	83	7.090076835776092	7.2994797616875	a	-0.23294168261127157	0
1005969	693	77	119	694.0288019095441	65	119	6.541029999189903	6.542513460956231	a	-0.0014845626400348255	0
1005926	374	47	100	347.01440095477204	40	100	5.924255797414532	5.849366280396286	a	0.07776506960800478	0
1005857	6361	687	121	8868.46845619978	764	121	8.757940876678804	9.090257394803299	a	-0.3941940663731771	0
1005832	4983	508	76	3436.749318242449	302	76	8.513787398281405	8.142281337978758	a	0.44991663300839835	0
1005802	2719	282	113	4820.45109276085	430	113	7.908019444632471	8.480622790375309	a	-0.7728764592721036	0
621026	1208	121	86	1316.9123919078586	114	86	7.0967213784947605	7.183045178579912	a	-0.0901592648243863	0
620100	1574	164	112	1836.708021789902	164	112	7.3613754289773485	7.515730129626395	a	-0.16690471524136075	0
1005818	1387	140	97	1572.454377548193	133	97	7.234898420314831	7.360392975465766	a	-0.13370899606935316	0
1005651	1038	109	102	1237.0555213952541	110	102	6.945051063725834	7.120489255294091	a	-0.1917683250435973	0
1005479	690	78	69	586.5850124925853	59	69	6.536691597591305	6.374317606425925	a	0.17630008490665605	0
1005407	472	54	97	486.4009385767725	49	97	6.156978985585555	6.187033260289842	a	-0.03051046308638239	0
1005997	248	34	98	270.06141664262594	33	98	5.5134287461649825	5.598649402177976	a	-0.08895732517187871	0
1005968	8478	760	92	2378.282798175383	190	92	9.045229851912582	7.77413399287779	a	2.5647568937152116	0
1005924	252	36	98	287.48473384537596	36	98	5.529429087511423	5.661169759159311	a	-0.140812435894349	0
1005855	5613	511	109	7236.484411542191	558	109	8.6328406149422	8.886890788932064	a	-0.28923648878357233	0
1005830	388	53	98	357.17800265637624	45	98	5.961005339623274	5.878234264397138	a	0.08629310067920426	0
621007	271	38	96	275.86918904354263	34	96	5.602118820879701	5.619926800625262	a	-0.017967487245544866	0
620058	255	36	100	351.37023025545955	41	100	5.541263545158426	5.861840454621461	a	-0.37792247159003733	0
1005817	1446	152	91	1282.0657575023586	119	91	7.27655640271871	7.156227929068735	a	0.12786726541781124	0
1005649	1744	179	141	1910.75711990159	172	141	7.463936604468925	7.555254840350038	a	-0.0956176146224712	0
1005405	968	101	127	1027.9757149622535	94	127	6.875232087276577	6.935346822158495	a	-0.06195838322546843	0
1005996	1461	150	87	1692.9656548672142	149	87	7.2868764117507	7.434237095375213	a	-0.15877183769145398	0
1005963	268	37	100	302.0041648476677	35	100	5.5909869805108565	5.710440808166093	a	-0.12688121211816306	0
1005904	2318	251	90	2083.538348828861	194	90	7.748460023899697	7.6418228566584965	a	0.11253051872211883	0
1005854	199	28	100	204.7239771323132	26	100	5.293304824724492	5.321662618842943	a	-0.028763704182478422	0
1005829	617	75	67	583.681126292127	60	67	6.424869023905388	6.369354817083797	a	0.057084034770034986	0
621001	249	35	96	220.69535123483408	29	96	5.517452896464707	5.396783249311052	a	0.12825212949342069	0
