CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov	log P1Sig	log P2Sig	Klasse	Rel exp	Punten
849492	1268	167	88	1300.5565048941005	151	88	7.145196134997171	7.170547532537001	a	-0.025675477045820516	0
847936	707	92	120	926.1264680191648	105	120	6.561030665896573	6.831010799855462	a	-0.3099384271841086	0
848434	608	78	94	654.8003543416751	77	94	6.410174881966167	6.484330386641725	a	-0.07697426700933407	0
849038	4374	507	110	3860.0661772517533	384	110	8.383433201236713	8.258439606677653	a	0.13314119477458064	0
845994	796	103	71	756.0954367812712	87	71	6.679599185844383	6.6281676073407105	a	0.0527771512398012	0
846412	839	95	86	1003.9066206067118	100	86	6.732210706467206	6.911654288562389	a	-0.19655139524041942	0
846290	1175	124	111	1177.5553333603052	109	111	7.069023426578259	7.071195817024523	a	-0.0021747517960044593	0
836411	164	27	92	146.51610138584442	23	92	5.099866427824199	4.987135329488392	a	0.11933090253413448	0
849512	411	51	98	341.870903233637	37	98	6.018593214496234	5.834433189875597	a	0.2022081906137525	0
820441	2933	312	85	2928.5131869590386	271	85	7.983781068977451	7.98225012849359	a	0.0015321129715042403	0
820236	2000	200	120	1868.532502858979	160	120	7.600902459542082	7.532908643935593	a	0.07035868893897601	0
849466	1025	125	69	870.0524045258169	93	69	6.932447891572509	6.768553444921715	a	0.1780899571889929	0
849385	216	34	100	273.13495443533964	35	100	5.375278407684165	5.6099660116308785	a	-0.26451367794138725	0
849139	581	75	90	560.7406349334786	63	90	6.364750756851911	6.329258472295146	a	0.036129653897696734	0
846894	474	66	100	392.5184444534351	48	100	6.161207321695077	5.972583528356414	a	0.20758656490658534	0
846667	339	50	100	352.7239477807366	45	100	5.82600010738045	5.865685733379701	a	-0.04048362177208431	0
846570	1130	143	112	1278.8504157999014	141	112	7.029972911706386	7.1537168407125264	a	-0.13172603168132868	0
846396	219	32	92	235.14929852049107	31	92	5.389071729816501	5.460220625271536	a	-0.07374108913466237	0
846160	379	48	100	273.13495443533964	34	100	5.937536205082426	5.6099660116308785	a	0.38759244778288604	0
836398	625	76	75	546.2699088706793	58	75	6.437751649736401	6.303113192190824	a	0.1441230605069972	0
849489	1356	159	134	1049.12763955296	110	134	7.212294468500341	6.955714278356419	a	0.29250240759818324	0
820434	1721	206	91	2230.300654428965	223	91	7.450660796211539	7.709891677980298	a	-0.29593297758800996	0
820216	993	128	123	1161.275766539656	129	123	6.900730664045173	7.057274478505915	a	-0.16946200054346017	0
849450	202	31	90	265.8995914039399	35	90	5.308267697401205	5.58311876159469	a	-0.31633461091059356	0
848654	1207	132	124	1244.4824414007528	123	124	7.095893221097532	7.126475012749298	a	-0.03105421822763277	0
849103	607	74	68	756.0954367812712	76	68	6.408528791059498	6.6281676073407105	a	-0.24562674922779437	0
846842	718	84	80	779.6103666333204	81	80	6.576469569048224	6.658794264919702	a	-0.08580831007426237	0
846613	467	61	89	323.7824956551377	39	89	6.1463292576688975	5.780071980656709	a	0.44232627231771016	0
847231	284	38	98	302.0764065609385	37	98	5.648974238161206	5.710679987232709	a	-0.0636493188765439	0
846353	1299	154	88	734.3893476870721	77	88	7.1693500166706	6.599039334417687	a	0.7688165059734935	0
846033	365	48	98	365.3858330856861	44	98	5.8998973535824915	5.900953872217158	a	-0.0010570769470852337	0
849432	276	42	97	253.23770609899037	34	97	5.62040086571715	5.534328597425258	a	0.08988508959290553	0
821121	209	32	96	200.78132412134238	27	96	5.342334251964811	5.302216376128288	a	0.04093346786422547	0
820180	244	37	100	240.57582079404085	31	100	5.497168225293202	5.483035303037708	a	0.014233264152055503	0
849401	971	118	89	1034.6569134901606	109	89	6.878326468291325	6.941825166195752	a	-0.06555809834208093	0
848613	790	91	108	1078.069091678559	108	108	6.672032945461067	6.982926841881304	a	-0.36464441984627727	0
846978	914	110	88	492.0046861351813	58	88	6.81783057145415	6.198488241111951	a	0.8577058832095612	0
848256	325	45	91	318.3559733815879	38	91	5.783825182329737	5.763170169854106	a	0.020869803534198095	0
847339	894	106	90	602.3439723640271	67	90	6.795705775173514	6.400828664796398	a	0.48420178671549885	0
847201	1833	199	134	1653.280452674837	157	134	7.513709247839705	7.410516746270104	a	0.10870481595206383	0
846350	202	31	87	191.7371203320927	27	87	5.308267697401205	5.256125268928021	a	0.05352578389688856	0
836511	909	107	111	886.3319713464663	92	111	6.812345094177479	6.787091565920626	a	0.02557509983431805	0
836341	232	35	93	253.23770609899037	34	93	5.44673737166631	5.534328597425258	a	-0.09154183663357918	0
849416	7070	754	121	9541.634997658388	847	121	8.863615758890619	9.163420133160221	a	-0.3495947662883152	0
821108	765	95	85	862.8170414944173	91	85	6.639875833826536	6.760202665704296	a	-0.1278654137181925	0
820170	781	97	103	660.2268766152249	70	103	6.660575149839686	6.492583528398446	a	0.1829266993854306	0
849400	786	90	90	815.787181790319	80	90	6.666956792429207	6.704153514318633	a	-0.037897177850278574	0
847819	4793	555	98	5220.314427154902	475	98	8.474911799159631	8.56031291414977	a	-0.08915385502918882	0
846976	1236	140	91	1307.7918679255004	129	91	7.119635638017636	7.176095396974719	a	-0.05808403553843067	0
846790	480	64	97	450.4013487046329	50	97	6.173786103901937	6.110139071280662	a	0.06571616932430091	0
847332	427	59	91	439.5483041575333	52	91	6.056784013228625	6.0857476181565024	a	-0.029387129174551108	0
847196	10257	1162	103	9715.28371041198	905	103	9.235715678307411	9.181455564721414	a	0.05575918374956523	0
847076	133	25	95	144.70726062799451	24	95	4.890349128221754	4.974712809489835	a	-0.08802451599995886	0
836482	293	44	100	291.22336201383894	36	100	5.680172609017068	5.674090539800417	a	0.006100602554257373	0
836321	175	30	92	189.9282795742428	27	92	5.1647859739235145	5.246646524973477	a	-0.08530445470995884	0
849415	155	27	100	184.501757300693	26	100	5.043425116919247	5.217658988100225	a	-0.19033391806898692	0
820348	162	27	92	197.1636426056425	28	92	5.087596335232384	5.284034057045098	a	-0.2170595222570526	0
818939	705	81	110	723.5363031399725	73	110	6.558197802812269	6.584150721923936	a	-0.02629262856733683	0
851504	2260	258	92	2651.7605510079993	263	92	7.723120092266331	7.882979057262551	a	-0.17334537655221216	0
848385	1356	156	91	1593.5887076657893	165	91	7.212294468500341	7.373743800752133	a	-0.1752129112579568	0
846785	772	94	114	738.007029202772	77	114	6.648984550024776	6.603953349220116	a	0.04606049732879747	0
847300	179	30	96	133.8542160808949	23	96	5.187385805840755	4.8967512680201235	a	0.3372757709164813	0
846453	1206	141	115	1168.5111295710556	121	115	7.095064377287131	7.063485678598556	a	0.032082595946438364	0
846329	752	95	90	472.10743779883205	55	90	6.62273632394984	6.157206582138648	a	0.5928577687870105	0
836445	421	57	92	443.16598567323314	55	92	6.042632833682381	6.093944385360681	a	-0.05265079732359412	0
836320	145	27	90	151.94262365939423	25	90	4.976733742420574	5.023502973659268	a	-0.047880163168235956	0
820928	137	24	94	162.79566820649381	25	94	4.919980925828125	5.092495845146219	a	-0.1882895489525096	0
821048	4612	534	76	4853.1197533113655	481	76	8.436416881388949	8.487377025241578	a	-0.05228095258268972	0
818894	279	38	94	240.57582079404085	31	94	5.631211781821365	5.483035303037708	a	0.1597175438459979	0
848695	1608	166	90	1886.6209104374784	170	90	7.382746449738912	7.542542629816727	a	-0.1732717104710686	0
846924	6033	632	91	3887.1987886195025	357	91	8.704999678440762	8.265444071458464	a	0.5520173595604962	0
845892	479	64	88	596.9174500904774	64	88	6.171700597410915	6.39177882927648	a	-0.24617421730788602	0
846452	1162	141	121	748.8600737498715	85	121	7.057897937411856	6.618552148641268	a	0.5516917522139422	0
846306	192	31	94	220.67857245769162	30	94	5.2574953720277815	5.396707219549211	a	-0.14936756488381042	0
836442	144	26	100	164.60450896434375	26	100	4.969813299576001	5.103545681332804	a	-0.14308686780794266	0
836296	140	26	100	142.89841987014458	23	100	4.941642422609304	4.962134027282976	a	-0.020702999072461203	0
820899	339	47	100	312.9294511080381	41	100	5.82600010738045	5.7459777693137335	a	0.08331126648402654	0
821017	1487	172	90	1304.1741864098005	130	90	7.304515946460155	7.1733253121009035	a	0.14018511905491082	0
818743	1628	191	110	808.5518187589192	90	110	7.395107546562485	6.6952447694295225	a	1.0134763935091837	0
848680	494	66	92	425.07757809473384	51	92	6.202535517187923	6.052271688960113	a	0.1621408078360369	0
849179	247	35	91	285.79683974028916	37	91	5.5093883366279774	5.655281207842921	a	-0.15707222566918677	0
847445	661	85	97	475.7251193145319	57	97	6.493753839851686	6.164840206993719	a	0.3894578469020702	0
845866	1402	168	88	1419.939994912196	148	88	7.2456550675945355	7.258369892598362	a	-0.012796002077172686	0
847179	241	38	93	217.06089094199174	31	93	5.484796933490655	5.380177917598	a	0.11028752786427032	0
847035	1951	227	95	1859.4882990697292	190	95	7.576097340623111	7.528056620831064	a	0.04921337820520444	0
836434	2659	312	121	2962.8811613581875	297	121	7.88570539124302	7.9939174392289685	a	-0.11428400201511368	0
848961	275	41	100	294.8410435295388	39	100	5.616771097666572	5.6864363756227165	a	-0.07214924919832288	0
820479	116	22	92	137.47189759659477	23	92	4.7535901911063645	4.923419515102285	a	-0.18510256548788595	0
820282	232	36	96	282.1791582245893	37	96	5.44673737166631	5.642542182065491	a	-0.21628947510598828	0
818673	283	40	91	329.2090179286875	40	91	5.645446897643238	5.796692861892749	a	-0.16328274886462024	0
620371	204	33	96	251.42886534114044	33	96	5.318119993844216	5.527160107946646	a	-0.23249443794676683	0
620175	679	85	81	707.2567363193231	74	81	6.520621127558696	6.56139373480132	a	-0.04161522285614594	0
1005939	1129	133	79	1173.9376518446054	115	79	7.029087564149662	7.068118891520044	a	-0.03980305743543444	0
1005744	1287	136	113	1459.7344915848946	130	113	7.160069207596127	7.286009843085903	a	-0.1342148341762972	0
1005579	1574	163	87	1161.275766539656	103	87	7.3613754289773485	7.057274478505915	a	0.35540587804580714	0
1005419	338	45	90	340.06206247578706	38	90	5.823045895483019	5.829128137645903	a	-0.006100776555582943	0
1005382	1585	158	92	1624.3390005492383	133	92	7.368339686311381	7.392856243118154	a	-0.024819558706144162	0
1005972	1288	144	119	1430.7930394592956	134	119	7.160845906664299	7.265984142583608	a	-0.11086416107088182	0
1005928	1176	130	110	940.5971940819643	88	110	7.069874128458572	6.846514986391427	a	0.25026951749286486	0
1005834	1168	127	95	1058.1718433422097	99	95	7.0630481633881725	6.96429802204781	a	0.10379047349332282	0
1005806	592	68	70	419.65105582118406	42	70	6.3835066348840055	6.039423546482264	a	0.41069584310126195	0
620303	173	29	95	173.6487127535934	26	95	5.153291594497779	5.15703436628379	a	-0.0037497847028520326	0
620125	186	30	100	168.2221904800436	26	100	5.225746673713202	5.12528566796921	a	0.10568052567396213	0
1005846	958	116	93	993.0535760596123	99	93	6.86484777797086	6.900784616325485	a	-0.03659037166974133	0
1005652	758	94	124	926.1264680191648	98	124	6.630683385642372	6.831010799855462	a	-0.22180272825747327	0
1005417	186	29	100	215.2520501841418	30	100	5.225746673713202	5.371809667927484	a	-0.1572690870115152	0
1005368	890	103	81	783.2280481490202	80	81	6.7912214627261855	6.663423902818444	a	0.13632294208986884	0
1005969	617	74	106	578.8290425119781	64	106	6.424869023905388	6.361007170609726	a	0.0659451317825539	0
1005926	306	42	98	312.9294511080381	37	98	5.723585101952381	5.7459777693137335	a	-0.02264526505894815	0
1005857	4989	558	122	3315.605109138924	326	122	8.514990767861038	8.106395422655659	a	0.5047027121078551	0
1005832	4269	469	85	3149.1917594167303	291	85	8.359134886757962	8.054901114584142	a	0.3555859173182494	0
1005802	2100	249	130	2349.6841444470606	234	130	7.649692623711514	7.762036191486554	a	-0.1188972116414575	0
621026	820	86	82	920.699945745615	82	82	6.709304340258298	6.825134191366477	a	-0.12280481188489634	0
620100	1099	119	102	1327.6891162618494	116	102	7.002155954403621	7.191195203430469	a	-0.20808836784517704	0
1005818	1494	151	105	1296.9388233784007	114	105	7.309212365692763	7.167762015415574	a	0.15194330917496468	0
1005651	713	83	98	832.0667486109684	82	98	6.569481420414296	6.723912664299095	a	-0.16699403732253626	0
1005479	395	51	97	356.34162929643645	41	97	5.978885764901122	5.875889903553943	a	0.10848682142440369	0
1005407	296	39	86	258.66422837254015	31	86	5.69035945432406	5.555530805075861	a	0.14434068391431043	0
1005997	205	31	97	238.76698003619092	31	97	5.3230099791384085	5.475488097402325	a	-0.16471697578629718	0
1005968	6620	606	96	3811.227476789805	307	96	8.797850648931053	8.245706588620143	a	0.7369732035979186	0
1005924	186	28	85	206.20784639489216	28	85	5.225746673713202	5.32888462321045	a	-0.1086443354564095	0
1005855	4314	417	112	4048.1856160681464	334	112	8.369620826949102	8.306024063687826	a	0.06566259780104389	0
1005830	267	38	91	278.5614767088894	35	91	5.58724865840025	5.629638777229583	a	-0.04330141089471695	0
1005791	885	102	139	580.637883269828	59	139	6.785587645007929	6.36412729794597	a	0.5241857713729852	0
621007	256	38	97	283.9879989824392	36	97	5.545177444479562	5.648931980164262	a	-0.1093281210251531	0
620058	184	29	100	224.2962539733915	29	100	5.214935757608986	5.412967740420991	a	-0.21900138029017113	0
1005817	1169	131	91	1143.1873589611566	109	91	7.063903961472068	7.041575568962812	a	0.022579536798150057	0
1005649	1446	152	130	1555.603051750941	142	130	7.27655640271871	7.349618564063507	a	-0.07579740784988998	0
1005405	960	101	121	906.2292196828156	87	121	6.866933284461882	6.809292275900819	a	0.059334635376251166	0
1005996	1106	125	85	1327.6891162618494	123	85	7.00850518208228	7.191195203430469	a	-0.20044223893476443	0
1005963	185	30	100	213.4432094262919	30	100	5.220355825078324	5.363370799281619	a	-0.15374707797995613	0
1005904	1792	199	89	1533.8969626567416	143	89	7.491087593534876	7.335566810607857	a	0.16826621580645051	0
1005854	150	26	100	159.17798669079394	25	100	5.0106352940962555	5.07002298929416	a	-0.06118657793862625	0
1005829	372	51	96	401.56264824268476	46	96	5.918893854273146	5.9953635566882335	a	-0.07946948452334612	0
1005758	904	101	156	660.2268766152249	68	156	6.806829360392176	6.492583528398446	a	0.3692262948072078	0
621001	181	28	89	204.39900563704222	27	89	5.198497031265826	5.320073993528295	a	-0.1292762742378024	0
620055	148	24	83	160.98682744864388	24	83	4.997212273764115	5.081322544548094	a	-0.0877488341124586	0
1005648	221	31	83	188.11943881639286	26	83	5.3981627015177525	5.237077073957327	a	0.17478555852858468	0
1005470	1059	108	83	1107.010543804158	97	83	6.9650803456014065	7.00941845732828	a	-0.04533573541469127	0
1005404	1329	142	100	1155.849244266106	110	100	7.192182058713246	7.052590629193489	a	0.14980392693325162	0
1005991	1474	146	105	1097.9663400149084	94	105	7.295735072749282	7.001214965875453	a	0.34248195621369026	0
1005961	777	81	118	662.0357173730748	66	118	6.655440350367647	6.49531950821732	a	0.1736526891375254	0
1005901	2719	271	100	2031.3281710654728	173	100	7.908019444632471	7.616445129554397	a	0.3385331029864216	0
1005852	964	105	105	917.0822642299152	89	105	6.871091294610546	6.821197178407138	a	0.051159789693983715	0
