CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov
849492	1748	213	89	904	131	89
847936	1228	134	117	1121	156	117
848434	901	108	85	660	91	85
849038	5092	509	100	2245	277	100
845994	1335	157	88	596	85	88
846412	1311	133	87	1046	122	87
846290	1722	164	111	1250	142	111
836411	259	34	92	151	27	92
849512	793	83	121	426	55	121
820441	4240	422	80	1892	233	80
820236	3069	286	121	1289	152	121
849466	1219	132	87	726	95	87
849385	386	50	100	380	58	100
849139	816	94	81	479	68	81
846894	931	106	114	492	72	114
846667	452	58	95	328	51	95
846570	1676	188	119	1395	184	119
846396	296	38	96	193	31	96
846160	564	63	95	254	38	95
836398	524	60	81	287	43	81
849489	2128	225	132	914	113	132
820434	1636	179	92	1472	181	92
820216	1358	154	135	1202	158	135
849450	367	47	94	305	46	94
848654	1534	163	131	932	118	131
849103	980	111	89	1135	147	89
846842	1096	120	112	771	102	112
846613	948	107	87	404	58	87
847231	462	56	100	287	43	100
846353	2278	240	85	707	92	85
846033	701	79	97	458	63	97
849432	456	56	100	316	47	100
821121	414	53	98	239	39	98
820180	422	52	100	279	43	100
849401	1109	121	95	756	99	95
848613	1171	140	142	1234	168	142
846978	1351	144	91	379	55	91
848256	576	73	97	411	62	97
847339	1180	127	91	437	61	91
847201	2100	216	143	1043	127	143
846350	228	32	88	141	26	88
836511	1350	132	134	787	94	134
836341	243	34	98	177	32	98
849416	7833	778	123	5551	648	123
821108	959	104	82	572	77	82
820170	1279	139	146	738	99	146
849400	1110	126	92	762	103	92
847819	7445	794	111	3895	491	111
846976	2062	225	88	1184	153	88
846790	821	94	104	468	66	104
847332	842	99	81	513	71	81
847196	13429	1409	115	5553	679	115
847076	185	30	98	135	27	98
836482	502	63	100	337	51	100
836321	297	42	97	203	35	97
849415	249	35	100	187	32	100
820348	295	40	100	203	34	100
818939	1157	123	119	937	118	119
851504	2985	324	94	2573	313	94
848385	1727	188	93	1400	177	93
846785	1030	112	130	685	89	130
847300	221	33	94	124	25	94
846453	1688	179	125	1318	161	125
846329	1144	129	97	473	68	97
836445	680	75	98	469	63	98
836320	154	26	95	119	25	95
820928	234	31	100	205	32	100
821048	5617	601	81	3159	386	81
818894	507	59	100	293	43	100
848695	2370	231	94	1854	218	94
846924	10221	1012	82	3511	400	82
845892	876	98	80	823	104	80
846452	1990	219	126	810	109	126
846306	324	44	97	259	41	97
836442	241	34	100	177	31	100
836296	221	33	97	141	27	97
820899	628	73	100	360	53	100
821017	2480	266	90	1198	153	90
818743	2789	301	110	721	99	110
848680	702	84	78	397	58	78
849179	357	50	100	244	39	100
847445	1375	150	135	575	78	135
845866	2078	216	92	1527	190	92
847179	331	44	100	206	35	100
847035	2939	298	90	1416	181	90
836434	2814	291	134	2078	249	134
848961	361	46	95	285	44	95
820479	210	31	100	184	31	100
820282	307	42	92	260	42	92
818673	471	60	98	380	57	98
620371	267	36	97	173	30	97
620175	1053	112	98	831	106	98
1005939	1341	141	79	989	122	79
1005744	1808	169	124	1582	178	124
1005579	2085	198	85	884	104	85
1005419	483	54	86	303	41	86
1005382	2098	188	89	1242	139	89
1005972	2204	210	126	1776	195	126
1005928	1447	139	100	747	91	100
1005861	2549	246	147	1221	147	147
1005834	1526	145	101	880	107	101
1005806	586	64	106	342	48	106
620303	205	32	98	150	28	98
620125	240	34	100	176	30	100
1005846	1260	139	100	1039	134	100
1005652	1198	125	138	1152	142	138
1005417	275	36	100	227	36	100
1005368	1189	124	86	776	99	86
1005969	797	82	117	533	69	117
1005926	402	48	98	249	39	98
1005857	7429	692	120	3019	338	120
1005832	5751	579	78	2415	294	78
1005802	2729	239	123	2392	259	123
621026	1271	119	92	1059	121	92
620100	1883	186	113	1503	177	113
1005818	1461	137	100	1016	123	100
1005651	1073	111	107	1005	122	107
1005479	792	84	81	381	53	81
1005407	398	46	83	250	38	83
1005997	285	37	82	171	29	82
1005968	8991	792	102	2040	229	102
1005924	227	32	90	167	29	90
1005855	5698	510	111	3973	447	111
1005830	304	39	95	187	31	95
1005791	750	76	83	402	53	83
621007	354	45	98	250	39	98
620058	247	34	100	249	40	100
1005817	1759	178	92	1170	146	92
1005649	2082	210	139	1476	184	139
1005405	1181	107	124	900	102	124
1005996	1580	159	88	1404	170	88
1005963	252	32	98	208	32	98
1005904	2367	249	94	1487	185	94
1005854	227	31	96	167	28	96
1005829	643	74	79	440	62	79
1005758	941	94	171	552	68	171
621001	221	30	82	144	25	82
620055	222	31	85	163	27	85
1005648	322	41	89	214	33	89
1005470	1238	122	88	901	106	88
1005404	1982	187	109	1164	135	109
1005991	1496	142	107	760	90	107
1005961	830	79	81	534	66	81
1005901	3501	343	55	1434	171	55
1005852	1068	107	74	725	86	74
1005812	1126	116	104	542	72	104
1005736	4854	447	60	3862	412	60
620274	2296	235	91	1532	186	91
620047	356	46	97	228	35	97
1005792	458	56	97	302	46	97
1005607	1061	116	130	654	81	130
1005464	2412	251	96	1878	228	96
1005395	2608	261	129	2182	255	129
1005990	1432	152	96	383	54	96
1005953	7567	731	124	2164	262	124
1005899	2124	216	91	2366	288	91
1005850	1424	150	142	1086	132	142
1005811	1525	157	94	788	102	94
1005718	363	46	100	237	37	100
620243	397	49	83	311	46	83
620757	244	33	87	191	31	87
1005769	1086	106	75	764	90	75
1005606	1345	138	72	865	112	72
1005451	3080	290	54	2326	274	54
1005393	1175	122	71	695	88	71
1005987	1347	137	97	934	115	97
1005949	315	40	78	210	33	78
1005886	937	100	90	539	71	90
1005838	1219	128	142	507	69	142
1005809	706	76	80	473	62	80
1005717	6029	632	58	1497	195	58
620208	2903	289	88	1937	228	88
1005751	943	100	85	726	91	85
1005605	337	42	94	231	34	94
1005439	1463	148	93	1024	124	93
1005390	314	41	93	202	33	93
1005934	197	29	96	126	24	96
1005884	2334	230	102	1598	186	102
1005837	946	99	116	1781	206	116
1005808	290	38	97	209	34	97
1005715	2029	196	147	1237	147	147
521166	269	36	87	164	29	87
521046	4218	440	60	1818	208	60
520355	397	50	86	263	41	86
520283	303	40	83	193	32	83
520098	379	47	81	194	32	81
519969	5101	547	56	2767	347	56
519535	1057	111	64	651	85	64
518981	601	71	77	339	48	77
518883	151	24	81	100	21	81
518990	3256	320	56	1215	151	56
518916	1366	144	108	636	84	108
520436	1265	137	94	785	101	94
521021	2762	289	125	1585	194	125
520354	7575	753	80	3830	466	80
520277	2640	269	119	1371	166	119
520093	212	31	94	130	26	94
