CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov
849492	1284	147	95	825	112	95
847936	1260	139	124	957	123	124
848434	774	90	69	420	61	69
849038	4050	411	104	2080	252	104
845994	1009	115	84	602	84	84
846412	1325	125	94	935	105	94
846290	1566	139	116	892	94	116
836411	196	28	92	118	22	92
849512	510	57	93	325	43	93
820441	3144	301	87	2193	254	87
820236	2502	235	122	1406	147	122
849466	1176	122	88	590	74	88
849385	376	47	100	300	44	100
849139	423	51	98	265	40	98
846894	713	82	112	309	46	112
846667	385	48	100	236	38	100
846570	1818	199	121	1146	148	121
846396	248	31	91	162	26	91
846160	494	52	100	177	27	100
836398	374	44	95	201	31	95
849489	1717	168	134	761	93	134
820434	1272	137	89	1275	158	89
820216	1695	194	130	1224	157	130
849450	277	37	96	231	35	96
848654	1245	119	132	739	90	132
849103	1020	104	89	759	88	89
846842	1082	113	111	644	89	111
846613	824	92	85	358	50	85
847231	275	35	96	165	28	96
846353	1668	172	94	472	62	94
846033	412	48	93	192	29	93
849432	322	41	94	191	29	94
821121	298	38	94	223	35	94
820180	263	35	89	163	27	89
849401	880	96	96	588	78	96
848613	1473	165	141	1170	148	141
846978	1306	138	94	319	46	94
848256	682	80	121	436	62	121
847339	804	86	91	398	55	91
847201	1495	152	144	761	96	144
846350	202	29	97	125	24	97
836511	1135	114	137	586	72	137
836341	257	36	100	153	28	100
849416	7224	679	120	4746	504	120
821108	739	84	83	570	74	83
820170	1076	117	134	535	70	134
849400	973	104	88	547	70	88
847819	6311	605	96	4385	476	96
846976	1472	154	86	882	105	86
846790	481	60	96	244	37	96
847332	441	54	90	507	66	90
847196	11359	1146	92	6492	731	92
847076	162	27	98	108	22	98
836482	286	39	94	195	32	94
836321	159	26	96	117	23	96
849415	190	29	91	121	23	91
820348	229	32	94	193	31	94
818939	1201	130	112	824	104	112
851504	2803	282	89	1759	205	89
848385	2187	218	88	1352	162	88
846785	840	92	127	446	61	127
847300	320	41	82	703	88	82
846453	1725	179	122	1045	130	122
