CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov
849492	1268	167	88	719	151	88
847936	707	92	120	512	105	120
848434	608	78	94	362	77	94
849038	4374	507	110	2134	384	110
845994	796	103	71	418	87	71
846412	839	95	86	555	100	86
846290	1175	124	111	651	109	111
836411	164	27	92	81	23	92
849512	411	51	98	189	37	98
820441	2933	312	85	1619	271	85
820236	2000	200	120	1033	160	120
849466	1025	125	69	481	93	69
849385	216	34	100	151	35	100
849139	581	75	90	310	63	90
846894	474	66	100	217	48	100
846667	339	50	100	195	45	100
846570	1130	143	112	707	141	112
846396	219	32	92	130	31	92
846160	379	48	100	151	34	100
836398	625	76	75	302	58	75
849489	1356	159	134	580	110	134
820434	1721	206	91	1233	223	91
820216	993	128	123	642	129	123
849450	202	31	90	147	35	90
848654	1207	132	124	688	123	124
849103	607	74	68	418	76	68
846842	718	84	80	431	81	80
846613	467	61	89	179	39	89
847231	284	38	98	167	37	98
846353	1299	154	88	406	77	88
846033	365	48	98	202	44	98
849432	276	42	97	140	34	97
821121	209	32	96	111	27	96
820180	244	37	100	133	31	100
849401	971	118	89	572	109	89
848613	790	91	108	596	108	108
846978	914	110	88	272	58	88
848256	325	45	91	176	38	91
847339	894	106	90	333	67	90
847201	1833	199	134	914	157	134
846350	202	31	87	106	27	87
836511	909	107	111	490	92	111
836341	232	35	93	140	34	93
849416	7070	754	121	5275	847	121
821108	765	95	85	477	91	85
820170	781	97	103	365	70	103
849400	786	90	90	451	80	90
847819	4793	555	98	2886	475	98
846976	1236	140	91	723	129	91
846790	480	64	97	249	50	97
847332	427	59	91	243	52	91
847196	10257	1162	103	5371	905	103
847076	133	25	95	80	24	95
836482	293	44	100	161	36	100
836321	175	30	92	105	27	92
849415	155	27	100	102	26	100
820348	162	27	92	109	28	92
818939	705	81	110	400	73	110
851504	2260	258	92	1466	263	92
848385	1356	156	91	881	165	91
846785	772	94	114	408	77	114
847300	179	30	96	74	23	96
846453	1206	141	115	646	121	115
846329	752	95	90	261	55	90
836445	421	57	92	245	55	92
836320	145	27	90	84	25	90
820928	137	24	94	90	25	94
821048	4612	534	76	2683	481	76
818894	279	38	94	133	31	94
848695	1608	166	90	1043	170	90
846924	6033	632	91	2149	357	91
845892	479	64	88	330	64	88
846452	1162	141	121	414	85	121
846306	192	31	94	122	30	94
836442	144	26	100	91	26	100
836296	140	26	100	79	23	100
820899	339	47	100	173	41	100
821017	1487	172	90	721	130	90
818743	1628	191	110	447	90	110
848680	494	66	92	235	51	92
849179	247	35	91	158	37	91
847445	661	85	97	263	57	97
845866	1402	168	88	785	148	88
847179	241	38	93	120	31	93
847035	1951	227	95	1028	190	95
836434	2659	312	121	1638	297	121
848961	275	41	100	163	39	100
820479	116	22	92	76	23	92
820282	232	36	96	156	37	96
818673	283	40	91	182	40	91
620371	204	33	96	139	33	96
620175	679	85	81	391	74	81
1005939	1129	133	79	649	115	79
1005744	1287	136	113	807	130	113
1005579	1574	163	87	642	103	87
1005419	338	45	90	188	38	90
1005382	1585	158	92	898	133	92
1005972	1288	144	119	791	134	119
1005928	1176	130	110	520	88	110
1005861	2216	236	160	841	143	160
1005834	1168	127	95	585	99	95
1005806	592	68	70	232	42	70
620303	173	29	95	96	26	95
620125	186	30	100	93	26	100
1005846	958	116	93	549	99	93
1005652	758	94	124	512	98	124
1005417	186	29	100	119	30	100
1005368	890	103	81	433	80	81
1005969	617	74	106	320	64	106
1005926	306	42	98	173	37	98
1005857	4989	558	122	1833	326	122
1005832	4269	469	85	1741	291	85
1005802	2100	249	130	1299	234	130
621026	820	86	82	509	82	82
620100	1099	119	102	734	116	102
1005818	1494	151	105	717	114	105
1005651	713	83	98	460	82	98
1005479	395	51	97	197	41	97
1005407	296	39	86	143	31	86
1005997	205	31	97	132	31	97
1005968	6620	606	96	2107	307	96
1005924	186	28	85	114	28	85
1005855	4314	417	112	2238	334	112
1005830	267	38	91	154	35	91
1005791	885	102	139	321	59	139
621007	256	38	97	157	36	97
620058	184	29	100	124	29	100
1005817	1169	131	91	632	109	91
1005649	1446	152	130	860	142	130
1005405	960	101	121	501	87	121
1005996	1106	125	85	734	123	85
1005963	185	30	100	118	30	100
1005904	1792	199	89	848	143	89
1005854	150	26	100	88	25	100
1005829	372	51	96	222	46	96
1005758	904	101	156	365	68	156
621001	181	28	89	113	27	89
620055	148	24	83	89	24	83
1005648	221	31	83	104	26	83
1005470	1059	108	83	612	97	83
1005404	1329	142	100	639	110	100
1005991	1474	146	105	607	94	105
1005961	777	81	118	366	66	118
1005901	2719	271	100	1123	173	100
1005852	964	105	105	507	89	105
1005812	1264	129	102	501	83	102
1005736	3664	388	95	2731	437	95
620274	1626	181	87	1030	173	87
620047	195	30	100	116	27	100
1005792	266	39	97	160	35	97
1005607	817	97	122	403	74	122
1005464	1605	177	89	1008	173	89
1005395	1585	179	140	1026	181	140
1005990	822	95	91	239	47	91
1005953	4333	471	123	1374	239	123
1005899	1240	139	93	1196	197	93
1005850	1052	114	128	620	110	128
1005811	1054	119	85	489	84	85
1005718	261	35	100	138	31	100
620243	249	36	96	156	33	96
620757	163	26	85	94	25	85
1005769	741	83	73	458	75	73
1005606	1064	117	119	599	107	119
1005451	2869	283	101	1508	235	101
1005393	784	91	104	390	73	104
1005987	1154	119	94	660	109	94
1005949	190	28	77	104	26	77
1005886	552	66	85	285	55	85
1005838	1383	150	137	455	82	137
1005809	389	51	96	208	43	96
1005717	3826	396	96	1109	198	96
620208	1884	202	90	1329	214	90
1005751	636	74	71	372	69	71
1005605	213	32	100	122	28	100
1005439	1081	118	94	569	95	94
1005390	195	30	100	112	28	100
1005934	134	25	100	68	21	100
1005884	2042	216	103	1056	168	103
1005837	721	88	114	962	168	114
1005808	209	31	91	112	28	91
1005715	1797	201	142	1028	179	142
521166	258	36	84	148	32	84
521046	4606	462	105	1814	298	105
520355	380	49	89	208	42	89
520283	241	35	80	137	32	80
520098	353	47	87	189	39	87
519969	4872	507	92	2909	472	92
519535	1032	114	88	666	111	88
518981	234	34	86	123	29	86
518883	155	25	89	91	23	89
518990	2909	304	86	1016	162	86
518916	958	108	109	406	75	109
520436	828	100	90	436	81	90
521021	1913	205	123	948	160	123
520354	5250	569	83	3235	532	83
520277	2028	223	121	1110	195	121
520093	149	25	92	77	23	92
519938	730	88	132	436	85	132
519529	1224	140	74	778	149	74
518979	3245	371	117	1262	231	117
518881	174	29	97	103	28	97
518785	896	104	124	407	80	124
518988	1426	167	88	1627	295	88
518896	1936	220	121	716	133	121
520415	1372	159	97	678	118	97
521019	10605	1115	90	4558	783	90
