CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov
1096595	451	51	87	276	40	87
1096012	2361	237	91	1457	183	91
1079162	140	24	95	106	23	95
1093696	1376	152	98	1296	172	98
1066733	774	90	110	416	62	110
1065922	3126	336	89	1921	250	89
1066557	664	75	88	610	85	88
1065669	1599	178	101	1392	182	101
1064754	10384	1059	124	5365	672	124
400263	849	92	78	631	83	78
1097475	761	89	105	705	105	105
1095799	814	77	79	585	67	79
1096179	1646	161	123	1003	125	123
1079266	1958	202	92	1980	246	92
1095181	1360	146	143	971	127	143
1094366	715	82	82	427	63	82
1066710	1443	160	126	1403	183	126
1065920	392	52	94	343	53	94
1066484	10144	1035	97	7100	865	97
1065627	14675	1555	74	10659	1310	74
1066145	1099	121	136	844	112	136
1040019	889	99	83	535	75	83
1038959	5349	591	98	2855	381	98
1038789	3511	351	77	1371	175	77
1039178	3589	373	103	2412	297	103
1023848	1057	112	83	614	83	83
1023591	244	34	96	175	32	96
1038942	937	98	75	594	79	75
1038842	1465	164	121	634	91	121
1038678	1757	182	90	1047	133	90
1021099	2412	254	112	1482	195	112
1002696	423	54	94	283	45	94
1002490	846	96	118	710	95	118
1040009	571	71	78	373	59	78
1038954	551	71	104	393	61	104
1038694	1443	167	87	924	132	87
1039155	15044	1645	104	6607	868	104
1023794	957	111	79	697	96	79
1023585	1397	164	132	825	120	132
1038936	4435	467	80	2364	306	80
1038823	3346	370	113	1959	258	113
1038654	1423	161	90	870	124	90
1021054	1483	171	134	713	100	134
1001925	777	89	76	762	114	76
1002477	1078	127	145	802	112	145
1039995	322	43	97	224	37	97
1039627	1060	130	112	637	95	112
1038690	33743	3489	72	14190	1699	72
1039128	27	13	47	27	13	47
1023777	4025	417	79	2702	324	79
1023512	306	41	94	188	34	94
1038921	4606	495	74	3511	438	74
1038801	12687	1389	104	7840	990	104
1038652	1202	137	92	752	101	92
1021027	867	107	123	566	85	123
1002471	1921	221	124	1180	163	124
1039990	732	85	79	347	57	79
1038883	9821	1022	105	4936	619	105
1038670	3476	380	74	2462	343	74
1039025	5790	613	113	2992	394	113
1023725	1818	208	94	698	104	94
1023414	379	51	100	281	46	100
1038915	28	13	88	26	14	88
1038773	1467	163	135	1035	141	135
1038636	1049	127	89	732	108	89
1002768	400	51	100	274	45	100
1001830	483	64	76	343	55	76
1002463	717	85	122	614	90	122
