CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov
849492	1130	116	87	912	80	87
847936	751	81	115	857	77	115
848434	478	54	100	473	45	100
849038	3716	348	104	2367	185	104
845994	750	81	73	621	57	73
846412	830	74	89	771	58	89
846290	1144	100	114	1002	75	114
836411	144	22	87	150	20	87
849512	462	47	100	520	44	100
820441	2765	259	91	2071	160	91
820236	2024	175	129	1318	98	129
849466	882	89	82	660	59	82
849385	200	26	86	213	24	86
849139	381	44	100	342	35	100
846894	449	51	97	368	38	97
846667	313	40	100	301	33	100
846570	1146	113	119	1134	93	119
846396	207	24	97	179	21	97
846160	433	44	89	210	23	89
836398	293	34	97	256	27	97
849489	1367	132	132	908	77	132
820434	1151	112	90	1372	108	90
820216	913	98	128	983	89	128
849450	184	26	96	195	24	96
848654	1154	108	132	970	81	132
849103	425	48	100	445	42	100
846842	668	68	108	643	57	108
846613	414	49	100	278	30	100
847231	250	31	100	245	28	100
846353	1464	144	84	607	55	84
846033	365	40	100	236	26	100
849432	272	35	100	269	29	100
821121	211	28	92	189	23	92
820180	256	32	100	250	27	100
849401	603	66	95	569	52	95
848613	775	77	130	829	73	130
846978	892	90	88	375	37	88
848256	374	43	100	394	40	100
847339	586	62	97	377	38	97
847201	1397	135	139	1027	86	139
846350	172	25	97	197	24	97
836511	899	89	135	786	66	135
836341	186	27	97	205	25	97
849416	5898	518	124	5533	397	124
821108	516	56	93	463	43	93
820170	860	87	139	604	54	139
849400	722	71	79	638	55	79
847819	4728	428	104	3744	279	104
846976	1248	118	89	1041	83	89
846790	422	48	98	361	36	98
847332	320	39	96	337	36	96
847196	9945	867	105	6131	451	105
847076	130	22	94	136	21	94
836482	318	38	100	343	35	100
836321	140	23	96	161	22	96
849415	150	23	100	165	22	100
820348	150	23	97	175	22	97
818939	714	70	127	691	59	127
851504	2104	201	94	2010	159	94
848385	1086	108	90	1083	92	90
846785	712	71	135	550	50	135
847300	189	28	93	273	31	93
846453	1114	104	121	1016	82	121
846329	669	73	95	418	41	95
836445	450	50	100	430	40	100
836320	137	23	95	135	20	95
820928	157	22	100	186	22	100
821048	4147	390	76	3624	275	76
818894	365	42	100	288	30	100
848695	1591	147	96	1465	117	96
846924	7188	635	82	3727	288	82
845892	600	63	73	682	60	73
846452	1609	158	129	855	75	129
846306	158	24	100	179	23	100
836442	152	23	98	177	23	98
836296	135	22	100	133	20	100
820899	368	43	100	300	32	100
821017	1626	153	92	1079	88	92
818743	1990	186	114	733	64	114
848680	402	45	98	350	36	98
849179	194	27	98	203	24	98
847445	947	98	128	600	55	128
845866	1277	129	93	1118	95	93
847179	208	29	98	180	23	98
847035	1940	185	95	1443	118	95
836434	2140	208	129	1759	149	129
848961	221	31	100	225	27	100
820479	138	22	100	167	22	100
820282	204	29	100	205	25	100
818673	301	38	100	308	32	100
620371	200	27	100	181	23	100
620175	701	73	104	672	59	104
1005939	970	92	73	907	73	73
1005744	1251	113	119	1183	93	119
1005579	1467	126	84	903	72	84
1005419	349	39	97	346	35	97
1005382	1515	126	92	1262	96	92
1005972	1388	132	129	1298	100	129
1005928	1048	95	103	736	61	103
1005861	2011	179	150	1518	115	150
1005834	986	91	98	805	67	98
1005806	410	44	96	322	33	96
620303	149	24	98	168	23	98
620125	137	21	92	145	20	92
1005846	916	93	98	1251	103	98
1005652	775	78	137	826	71	137
1005417	152	22	96	174	22	96
1005368	761	78	84	741	64	84
1005969	412	46	93	371	37	93
1005926	259	33	100	232	27	100
1005857	5045	486	122	4871	363	122
1005832	3847	360	88	2402	188	88
1005802	2104	198	118	2777	207	118
621026	759	72	89	724	61	89
620100	1024	93	96	985	78	96
1005818	1588	141	102	1282	104	102
1005651	666	65	103	724	59	103
1005479	408	45	100	318	34	100
1005407	300	35	95	302	31	95
1005997	210	29	100	204	25	100
1005968	6193	509	96	1934	141	96
1005924	191	27	100	207	26	100
1005855	4088	340	109	3751	258	109
1005830	289	37	100	259	30	100
1005791	631	64	113	404	38	113
621007	204	28	98	176	23	98
620058	137	21	86	166	21	86
1005817	1020	89	90	827	66	90
1005649	1307	118	142	1222	95	142
1005405	750	70	123	677	56	123
1005996	1063	95	87	1020	80	87
1005963	153	22	90	187	23	90
1005904	1699	149	95	1273	100	95
1005854	109	18	88	126	18	88
1005829	316	38	98	285	31	98
1005758	698	67	161	513	44	161
621001	187	26	100	163	22	100
620055	125	20	91	153	20	91
1005648	225	28	94	222	25	94
1005470	839	81	83	715	60	83
1005404	1364	121	113	1028	82	113
1005991	1289	114	95	802	65	95
