CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov
849492	1358	158	91	863	127	91
847936	1028	116	113	923	133	113
848434	790	95	84	531	80	84
849038	3940	396	96	2261	286	96
845994	978	121	88	605	93	88
846412	1215	124	94	931	117	94
846290	1452	142	115	919	111	115
836411	183	27	87	122	24	87
849512	648	73	84	728	96	84
820441	3731	365	84	2508	298	84
820236	2680	278	129	1513	204	129
849466	1224	127	87	715	95	87
849385	362	50	100	298	50	100
849139	513	60	100	364	53	100
846894	865	103	126	487	73	126
846667	349	47	100	238	41	100
846570	1557	181	130	1151	170	130
846396	280	35	98	194	31	98
846160	676	73	116	245	38	116
836398	371	45	90	213	34	90
849489	1867	195	67	971	128	67
820434	1531	171	93	1970	259	93
820216	1550	177	70	1343	191	70
849450	263	36	84	212	35	84
848654	1373	150	129	947	138	129
849103	1058	119	58	856	116	58
846842	962	100	106	703	95	106
846613	570	71	92	318	51	92
847231	351	44	86	228	36	86
846353	1962	223	62	645	96	62
846033	393	49	93	237	38	93
849432	314	41	90	241	39	90
821121	289	40	93	214	36	93
820180	291	39	92	193	32	92
849401	948	105	90	839	118	90
848613	1434	166	71	1277	180	71
846978	1475	155	91	362	56	91
848256	540	65	87	416	61	87
847339	944	99	85	571	81	85
847201	1739	170	78	1021	129	78
846350	190	27	83	118	23	83
836511	1380	132	72	956	112	72
836341	238	34	83	174	31	83
849416	6874	691	62	5218	617	62
821108	852	100	90	642	92	90
820170	1111	122	80	624	88	80
849400	1020	113	76	707	97	76
847819	6814	705	108	4737	595	108
846976	995	114	88	802	112	88
846790	756	88	102	447	64	102
847332	338	47	77	422	67	77
847196	11717	1256	104	6957	869	104
847076	98	20	72	72	19	72
836482	431	56	90	302	48	90
836321	141	24	71	97	22	71
849415	207	31	89	137	27	89
820348	290	41	76	307	50	76
818939	1059	118	126	800	111	126
851504	2674	283	104	2055	273	104
848385	1784	190	101	1396	189	101
846785	1077	119	138	555	79	138
847300	338	44	80	856	116	80
846453	1632	177	68	1165	157	68
846329	1176	131	100	645	90	100
836445	502	57	95	393	53	95
836320	166	28	91	118	25	91
820928	218	29	90	208	32	90
821048	4865	533	82	3598	477	82
818894	429	49	87	240	36	87
848695	2190	233	90	1557	215	90
846924	11009	1220	75	3740	522	75
845892	964	110	82	828	118	82
846452	2059	222	123	755	107	123
846306	207	31	94	155	30	94
836442	199	29	90	122	24	90
836296	152	26	95	110	24	95
820899	384	48	95	233	37	95
821017	2243	234	88	1204	155	88
818743	2599	284	109	637	97	109
848680	540	66	92	407	63	92
849179	289	40	96	236	39	96
847445	1341	140	139	698	93	139
845866	1988	211	96	1274	171	96
847179	253	35	94	168	30	94
847035	2726	291	94	1789	239	94
836434	2362	254	67	1434	189	67
848961	312	43	92	221	39	92
820479	156	24	93	150	27	93
820282	277	39	92	199	36	92
818673	357	46	96	282	44	96
620371	252	36	96	170	30	96
620175	1025	113	102	757	105	102
1005939	1263	134	77	964	125	77
1005744	1689	174	124	1312	166	124
1005579	1962	195	79	870	111	79
1005419	582	65	100	473	63	100
1005382	1566	151	93	1129	137	93
1005972	2090	202	129	1577	174	129
1005928	1384	139	96	743	98	96
1005861	2579	242	150	1467	171	150
1005834	1236	130	94	879	117	94
1005806	486	55	100	321	48	100
620303	198	31	100	135	28	100
620125	206	31	100	151	29	100
1005846	1256	142	94	1310	172	94
1005652	1098	117	132	891	121	132
1005417	240	33	100	211	35	100
1005368	1200	134	83	1019	139	83
1005969	693	77	119	478	65	119
1005926	374	47	100	239	40	100
1005857	6361	687	121	6108	764	121
1005832	4983	508	76	2367	302	76
1005802	2719	282	113	3320	430	113
621026	1208	121	86	907	114	86
620100	1574	164	112	1265	164	112
1005818	1387	140	97	1083	133	97
1005651	1038	109	102	852	110	102
1005479	690	78	69	404	59	69
1005407	472	54	97	335	49	97
1005997	248	34	98	186	33	98
1005968	8478	760	92	1638	190	92
1005924	252	36	98	198	36	98
1005855	5613	511	109	4984	558	109
1005830	388	53	98	246	45	98
1005791	824	88	155	428	59	155
621007	271	38	96	190	34	96
620058	255	36	100	242	41	100
1005817	1446	152	91	883	119	91
1005649	1744	179	141	1316	172	141
1005405	968	101	127	708	94	127
1005996	1461	150	87	1166	149	87
1005963	268	37	100	208	35	100
1005904	2318	251	90	1435	194	90
1005854	199	28	100	141	26	100
1005829	617	75	67	402	60	67
1005758	871	91	181	513	68	181
621001	249	35	96	152	29	96
620055	199	29	96	156	28	96
1005648	373	46	100	255	40	100
1005470	1001	100	86	700	89	86
1005404	2037	197	112	1319	162	112
1005991	1391	132	103	736	90	103
1005961	694	69	131	455	58	131
1005901	3351	315	95	1171	142	95
1005852	986	92	105	652	77	105
1005812	965	101	100	514	69	100
1005736	4445	414	112	3336	369	112
620274	2085	225	88	1826	227	88
620047	287	39	100	197	33	100
1005792	407	52	97	324	49	97
1005607	939	99	126	581	76	126
1005464	2268	235	94	1708	216	94
1005395	2353	224	124	1854	221	124
1005990	1147	119	91	325	48	91
1005953	7951	746	118	1770	221	118
1005899	1790	187	89	2626	326	89
1005850	1289	135	146	1255	161	146
1005811	1389	149	94	737	99	94
1005718	399	48	100	327	49	100
620243	559	64	76	845	107	76
620757	243	34	90	171	29	90
1005769	1052	105	80	649	81	80
1005606	1219	127	126	942	120	126
1005451	2785	268	95	2383	290	95
1005393	1245	123	124	828	102	124
1005987	1183	120	94	832	107	94
1005949	326	41	96	227	35	96
1005886	897	96	86	536	73	86
1005838	1041	110	153	510	71	153
1005809	731	82	84	833	113	84
1005717	5655	587	96	1351	181	96
620208	2531	263	90	2037	255	90
1005751	868	92	86	638	84	86
1005605	305	39	100	220	35	100
1005439	1167	124	106	840	112	106
1005390	283	38	100	187	33	100
1005934	180	27	100	127	25	100
1005884	2148	221	98	1713	209	98
1005837	836	93	127	1932	237	127
1005808	261	36	100	179	31	100
1005715	1537	159	154	1020	131	154
521166	280	38	98	218	37	98
521046	5979	608	109	1953	237	109
520355	503	62	92	362	55	92
520283	324	41	96	230	37	96
520098	382	48	93	209	36	93
519969	4350	436	109	3280	420	109
519535	890	98	82	706	96	82
518981	389	48	100	278	43	100
518883	162	26	96	114	24	96
518990	3719	382	79	1552	202	79
518916	1249	125	111	546	71	111
520436	1120	123	95	952	125	95
521021	2851	282	123	1377	174	123
520354	6707	655	82	4252	510	82
520277	1991	201	118	1162	148	118
520093	188	29	96	131	26	96
519938	1064	115	132	849	114	132
519529	2022	210	78	1549	197	78
518979	4858	482	110	1506	191	110
518881	198	30	100	158	29	100
518785	1569	159	124	714	95	124
518988	2116	210	78	3167	392	78
518896	2888	280	108	905	119	108
520415	1773	193	89	1497	195	89
521019	15292	1439	101	4230	514	101
520353	665	76	79	748	100	79
520198	178	27	97	113	23	97
520082	368	45	93	298	46	93
519912	3026	307	107	1773	221	107
519512	2109	198	92	839	109	92
518977	1508	158	114	808	107	114
518880	1992	196	82	1081	136	82
518767	1584	165	116	771	105	116
518971	994	106	89	453	65	89
518895	1737	177	119	924	120	119
520410	550	60	79	395	57	79
521016	709	80	140	601	85	140
520197	1939	200	117	460	66	117
520056	715	80	77	329	49	77
519801	1090	120	125	907	121	125
519465	501	57	69	324	46	69
518934	1941	208	117	1377	178	117
518860	1904	200	85	779	101	85
518738	1127	124	125	800	106	125
518970	1047	114	88	591	78	88
518875	3822	392	125	2171	275	125
521117	2493	254	86	849	112	86
520295	156	26	96	84	20	96
520324	1797	159	92	1081	118	92
520189	254	32	93	194	31	93
520031	370	43	95	251	39	95
519711	618	71	94	522	74	94
519438	4409	411	77	2200	252	77
