CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov
849492	1314	158	97	901	139	97
847936	916	108	128	718	116	128
848434	572	74	86	369	65	86
849038	3716	401	112	2158	310	112
845994	957	124	80	666	111	80
846412	1054	118	86	760	111	86
846290	1060	108	117	655	93	117
836411	165	26	92	109	24	92
849512	305	40	83	272	45	83
820441	3156	332	88	2308	310	88
820236	820	96	89	506	79	89
849466	1042	127	83	603	101	83
849385	255	38	98	237	43	98
849139	344	47	88	229	44	88
846894	441	61	100	270	49	100
846667	239	37	87	132	29	87
846570	1506	183	122	1047	166	122
846396	201	30	83	135	28	83
846160	415	52	94	175	33	94
836398	278	38	96	181	34	96
849489	1528	180	112	882	148	112
820434	1200	143	91	1573	241	91
820216	1249	152	116	971	164	116
849450	220	33	91	185	36	91
848654	342	51	73	233	45	73
849103	819	99	77	602	97	77
846842	503	70	68	341	62	68
846613	544	68	91	316	56	91
847231	256	38	91	165	34	91
846353	1658	185	77	608	97	77
846033	384	51	89	298	53	89
849432	242	37	92	179	36	92
821121	275	39	91	229	42	91
820180	229	35	96	157	32	96
849401	724	87	87	571	88	87
848613	1158	139	126	914	146	126
846978	1130	132	89	320	56	89
848256	442	59	98	309	57	98
847339	838	101	85	423	70	85
847201	1382	154	129	841	125	129
846350	177	29	96	108	25	96
836511	1019	112	128	693	99	128
836341	206	33	98	137	30	98
849416	6312	674	125	4979	702	125
821108	749	95	75	585	99	75
820170	985	114	136	537	89	136
849400	783	92	68	483	75	68
847819	5984	660	94	4465	598	94
846976	1316	150	84	985	143	84
846790	458	61	84	290	48	84
847332	411	55	86	544	87	86
847196	10680	1111	94	6580	924	94
847076	116	23	91	82	22	91
836482	322	45	83	221	41	83
836321	157	27	97	114	26	97
849415	154	27	83	110	25	83
820348	248	36	95	202	38	95
818939	986	111	120	688	110	120
851504	2178	249	90	1495	230	90
848385	1690	204	94	1187	187	94
846785	740	92	123	473	80	123
847300	260	41	80	830	134	80
846453	1270	148	113	857	134	113
846329	906	111	89	518	86	89
836445	440	58	96	285	49	96
836320	113	23	86	82	22	86
820928	151	25	97	160	30	97
821048	4445	504	79	3563	542	79
818894	334	44	100	228	41	100
