CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov
849492	1106	109	89	1078	93	89
847936	873	88	114	1024	93	114
848434	530	56	100	518	49	100
849038	3495	311	105	2945	238	105
845994	801	83	84	819	74	84
846412	975	77	88	1023	76	88
846290	1535	125	114	1425	110	114
836411	161	22	93	164	21	93
849512	514	45	100	458	42	100
820441	2981	256	63	3235	241	63
820236	2041	173	122	1906	142	122
849466	964	92	83	796	67	83
849385	237	31	95	310	32	95
849139	477	48	97	432	42	97
846894	713	73	102	561	50	102
846667	337	37	100	345	39	100
846570	1323	126	119	1481	119	119
846396	215	24	97	197	23	97
846160	506	48	91	329	31	91
836398	308	34	90	277	29	90
849489	1563	142	127	959	81	127
820434	1198	114	96	1619	133	96
820216	1198	123	137	1376	122	137
849450	209	28	97	251	28	97
848654	1106	105	123	1151	97	123
849103	782	75	82	879	71	82
846842	837	82	104	773	69	104
846613	426	48	98	363	38	98
847231	199	27	83	177	23	83
846353	1324	134	70	713	65	70
846033	359	41	100	360	37	100
849432	141	22	89	141	21	89
821121	217	28	93	260	29	93
820180	243	30	100	230	26	100
849401	728	71	90	740	64	90
848613	955	98	131	1278	112	131
846978	1331	122	87	558	51	87
848256	454	51	100	444	45	100
847339	977	91	94	596	53	94
847201	1507	141	139	1291	107	139
846350	188	25	100	187	23	100
836511	1117	102	131	856	69	131
836341	195	27	100	199	25	100
849416	5779	504	123	6540	502	123
821108	656	67	81	728	64	81
820170	1112	107	134	774	70	134
849400	1138	105	86	1035	84	86
847819	5339	474	100	5146	386	100
846976	972	93	79	871	72	79
846790	439	48	94	377	37	94
847332	282	35	98	412	41	98
847196	8916	806	102	8435	626	102
847076	138	22	92	157	22	92
836482	334	39	98	306	32	98
836321	147	23	100	178	23	100
849415	184	26	97	195	25	97
820348	205	28	95	222	26	95
818939	887	86	120	972	82	120
851504	2601	230	89	2716	207	89
848385	1427	133	97	1608	126	97
846785	857	87	126	613	57	126
847300	190	27	100	407	40	100
846453	1427	136	122	1514	124	122
846329	949	95	89	684	61	89
836445	440	48	100	440	42	100
836320	130	22	100	137	20	100
820928	185	26	100	225	26	100
821048	4005	364	83	4045	312	83
818894	409	45	100	331	35	100
848695	2406	214	88	2412	185	88
846924	9028	802	85	4794	365	85
845892	767	77	77	880	75	77
846452	1895	182	123	1011	89	123
846306	173	25	95	202	25	95
836442	183	26	96	199	25	96
836296	129	21	100	130	20	100
820899	348	40	100	326	34	100
821017	1811	161	82	1552	125	82
818743	2348	214	112	937	83	112
848680	454	51	98	378	38	98
849179	226	29	100	241	28	100
847445	1120	114	136	744	69	136
845866	1915	175	90	1854	147	90
847179	256	34	100	217	27	100
847035	2106	193	94	2074	163	94
836434	2007	189	128	1964	158	128
848961	263	33	100	294	32	100
820479	153	23	100	190	24	100
820282	245	32	100	269	31	100
818673	371	44	100	398	40	100
620371	219	30	100	252	29	100
620175	861	83	102	897	75	102
1005939	1182	114	72	1094	91	72
1005744	1601	135	114	1831	134	114
1005579	1555	140	80	1027	85	80
1005419	396	42	86	363	34	86
1005382	1649	143	97	1619	128	97
1005972	1661	145	123	1843	138	123
1005928	1316	120	82	943	80	82
1005861	2353	201	138	1714	130	138
1005834	1350	123	83	1225	100	83
1005806	426	46	96	374	36	96
620303	162	24	98	165	22	98
620125	156	23	100	175	23	100
1005846	1000	98	92	732	64	92
1005652	942	87	122	1214	97	122
1005417	189	26	96	193	24	96
1005368	880	84	83	825	69	83
1005969	568	56	111	501	43	111
1005926	282	34	100	237	27	100
1005857	7030	616	113	3500	265	113
1005832	4528	411	80	2845	216	80
1005802	2325	205	114	2162	168	114
621026	949	87	81	983	81	81
620100	1440	130	104	1846	134	104
1005818	1225	109	80	1079	87	80
1005651	791	72	98	959	71	98
1005479	449	48	100	325	34	100
1005407	302	35	93	269	28	93
1005997	215	29	100	210	26	100
1005968	6722	543	92	3344	234	92
1005924	186	27	100	186	25	100
1005855	5172	427	104	4289	310	104
1005830	331	42	96	266	32	96
1005791	678	66	131	537	47	131
621007	253	32	100	243	28	100
620058	175	25	97	222	26	97
1005817	1353	124	88	1309	104	88
1005649	1493	137	143	1576	123	143
1005405	935	87	123	942	77	123
1005996	1306	120	86	1629	129	86
1005963	188	25	97	183	22	97
1005904	1892	175	89	1554	127	89
1005854	150	22	89	146	20	89
1005829	359	42	98	327	35	98
1005758	770	69	137	695	55	137
621001	151	25	96	157	23	96
620055	123	20	92	144	19	92
1005648	246	29	89	208	24	89
1005470	288	37	93	299	35	93
1005404	1672	147	104	1031	82	104
1005991	878	90	88	691	66	88
1005961	749	71	120	741	60	120
1005901	2014	188	87	1318	116	87
1005852	928	85	109	823	66	109
1005812	677	69	97	534	52	97
1005736	4028	325	112	4003	279	112
620274	1587	150	91	1836	149	91
620047	194	26	100	241	27	100
1005792	303	36	100	336	35	100
1005607	746	70	121	618	53	121
1005464	1935	183	94	2004	160	94
1005395	1887	167	123	2284	171	123
1005990	1081	106	93	512	49	93
1005953	7309	640	113	2787	212	113
1005899	1592	152	94	1669	138	94
1005850	1209	106	131	1089	85	131
1005811	1141	108	91	840	73	91
1005718	271	32	93	232	25	93
620243	312	37	100	511	49	100
620757	180	25	87	183	22	87
1005769	935	88	80	634	56	80
1005606	1016	95	128	965	78	128
1005451	2872	243	93	2633	204	93
1005393	904	83	113	738	61	113
1005987	1376	121	93	1264	100	93
1005949	212	27	86	203	23	86
1005886	743	71	77	565	50	77
1005838	1016	97	131	699	58	131
1005809	466	49	98	400	39	98
1005717	4962	441	104	2133	162	104
620208	2087	188	82	2433	190	82
1005751	779	76	80	875	72	80
1005605	227	28	92	219	25	92
1005439	1128	107	94	963	79	94
1005390	173	24	95	179	22	95
1005934	122	20	92	122	18	92
1005884	1763	158	98	1534	122	98
1005837	733	72	116	1485	116	116
1005808	213	29	97	210	25	97
1005715	1496	139	142	1457	120	142
521166	283	34	100	219	26	100
521046	4184	350	102	2851	193	102
520355	418	45	100	439	42	100
520283	219	28	87	217	24	87
520098	324	38	96	270	30	96
519969	3476	297	61	3741	264	61
519535	764	76	88	843	70	88
518981	267	32	90	290	30	90
518883	144	23	100	141	20	100
518990	3219	290	89	1586	124	89
518916	1018	93	108	646	53	108
520436	871	87	93	798	69	93
521021	2329	206	117	1615	130	117
520354	5259	448	72	6383	460	72
520277	1741	156	114	1504	123	114
